,Country,Year,GDP,Region_x,HUMAN FREEDOM (Score),Procedural Justice,Civil Justice,Criminal Justice,Rule of Law,Homicide,Disappearances,Violent Conflicts,Organised Conflicts,Terrorism Fatalities,Terrorism Injuries,"Disapperances, Conflicts, and Terrorism",Female Genital Mutilation,Inheritance Rights: Widows,Inheritance Rights: Daughters,Inheritance Rights,Women's Security & Safety,Security & Safety,Domestic Movement,Foreign Movement,Women's Movement,Movement,Establishing Religious Organizations,Operating Religious Organizations,Establishing and Operating Religious Organizations,Harassment and Physical Hostilities,Legal and Regulatory Restrictions,Religion,Association,Assembly,Establishing Political Parties,Operating Political Parties,Establishing and Operating Political Parties,Establishing Professional Organization,Operating Professional Organization,Establishing and Operating Professional Organization,"Establishing Educational, Sporting and Cultural Organizations","Operating Educational, Sporting and Cultural Organizations","Establishing and Operating Educational, Sporting and Cultural Organizations","Association, Assembly, & Civil Society",Press Killed,Press Jailed,Laws and Regulations that Influence Media Content,Political Pressures and Controls on Media Content,Access to Cable/Satellite,Access to Foreign Newspapers,State Control over Internet Access,Expression & Information,Legal Gender,Male to Male Relationships,Female to Female Relationships,Same-Sex Relationships,Divorce,Identity & Relationships,PERSONAL FREEDOM (Score),Government Consumption,Transfers and subsidies,Government  enterprises and investment,Top marginal income tax rate,Top marginal income and payroll tax rate,Top marginal tax rate,State ownership of assets,Size of Government,Judicial independence,Impartial courts,Protection of property rights, Military interference in rule of law and politics,Integrity of the legal system,Legal enforcement of contracts,Regulatory costs of the sale of real property ,Reliability of police,Business costs of crime,Gender Legal Rights Adjustment,Legal System & Property Rights,Money growth,Standard deviation of inflation,Inflation: Most recent year,Freedom to own foreign currency bank accounts,Sound Money, Revenue from trade taxes (% of trade sector),Mean tariff rate,Standard deviation of tariff rates,Tariffs, Non-tariff trade barriers,Compliance costs of importing and exporting, Regulatory trade barriers,Black market exchange rates,Foreign ownership/investment restrictions,Capital controls,Freedom of foreigners to visit,Controls of the movement of capital and people,Freedom to trade internationally,Ownership of banks,Private sector credit,Interest rate controls/negative real interest rates,Credit market regulations,Hiring regulations and minimum wage,Hiring and firing regulations,Centralized collective bargaining,Hours Regulations,Conscription,Labor market regulations,Administrative requirements,Bureaucracy burden,Startinga  business,Extra payments/bribes/favoritism,Licensing restrictions,Tax compliance,Business regulations,Regulation,ECONOMIC FREEDOM (Score),Happiness Rank,Happiness Score,Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,January_cpi food,February_cpi food,March_cpi food,April_cpi food,May_cpi food,June_cpi food,July_cpi food,August_cpi food,September_cpi food,October_cpi food,November_cpi food,December_cpi food,January_cpi general,February_cpi general,March_cpi general,April_cpi general,May_cpi general,June_cpi general,July_cpi general,August_cpi general,September_cpi general,October_cpi general,November_cpi general,December_cpi general,January_Food price inflation,February_Food price inflation,March_Food price inflation,April_Food price inflation,May_Food price inflation,June_Food price inflation,July_Food price inflation,August_Food price inflation,September_Food price inflation,October_Food price inflation,November_Food price inflation,December_Food price inflation
0,2,2010,6230.297028,8,5.44,3.7,4.88416740140516,3.9593998127344197,3.77,8.257535076913099,10.0,10.0,7.5,9.94294467631966,9.94009191013564,9.47660731729106,10.0,5.0,5.0,5.0,7.5,8.41138079806805,0.0,0.0,10.0,3.3333333333333304,5.0,3.3333333333333304,4.16666666666667,8.76,7.50277777777778,6.80981481481481,2.5,2.5,2.5,0.0,1.25,5.0,0.0,2.5,2.5,0.0,1.25,2.0,7.14723381598286,10.0,4.0,3.75,10.0,6.66666666666667,10.0,7.36627149752136,7.0,0.0,0.0,0.0,10.0,5.0,5.49628716408396,3.91176470588235,7.9627418597919295,4.0,10.0,9.0,9.5,3.3188825923203598,5.738677831598929,2.3632305000000002,2.50642970963542,2.85371272916667,3.3333333333333304,5.0,2.30220039660159,5.470664342025089,4.22510180208333,5.62498089583333,0.962962962962963,3.6728840464197003,5.11756270868912,5.05745137109848,7.10589176055688,5.0,5.57022646008612,8.88666666666667,8.54,7.2844,8.237022222222219,4.70798023697917,3.33015519729359,4.01906771713638,10.0,5.2020054934895805,2.3076923076923097,0.0,2.50323260039396,6.18983063493814,8.0,10.0,8.0,8.66666666666667,3.3333333333333304,4.17406221354167,6.2761924192708305,4.0,0.0,4.00703581486711,1.75727957291667,3.4848484848484804,6.49094884699878,2.8868286763392903,5.35688254347865,6.83896993607751,4.4692930101099,5.71433183054789,5.38,133.0,4.12049994277954,0.86687460187912,0.26987750351428996,0.37248499999999996,0.08684,0.214105,1.881015,55.29170500000001,56.007923,56.590228,57.44486,57.978137,58.540537,59.230152,60.09664300000001,61.121564,61.942537,62.65030400000001,63.756628000000006,58.377734,58.89566800000001,59.51596899999999,60.127188,60.763216,61.382128,62.08345799999999,62.779279,64.253674,65.044517,65.700091,66.78497800000001,0.193265,0.196704,0.198307,0.203873,0.203263,0.195052,0.186457,0.189692,0.19598,0.19561,0.194777,0.183197
1,0,2010,9628.025783,2,7.71,5.66666666666667,5.074784650780519,4.10051580898762,4.9,8.27241734044091,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.424139113480301,10.0,10.0,10.0,10.0,10.0,10.0,7.5,9.9,8.93333333333333,9.41666666666667,10.0,10.0,10.0,10.0,10.0,10.0,7.5,10.0,10.0,10.0,10.0,9.5,10.0,10.0,4.66666666666667,5.75,10.0,10.0,10.0,7.60416666666667,7.0,10.0,10.0,10.0,7.5,8.75,8.052388945036741,8.08823529411765,7.38692098092643,7.0,10.0,7.0,8.5,8.22316440951383,7.839664136911581,3.2907976869918705,4.51296502184959,4.0462212723577204,8.33333333333333,4.16666666666667,5.35625265412796,5.4646614390602,5.856043739837401,7.16833194817073,0.962962962962963,5.25586318808016,9.8574865598932,9.75305678473005,9.28954652241818,10.0,9.72502246676036,8.57223031383619,9.0,7.78,8.4507434379454,6.27563444004065,7.4475905415388,6.861612490789731,10.0,6.4106299054877995,4.615384615384619,0.0,3.67533817362414,7.24692352558982,5.0,6.115615615615621,10.0,7.038538538538541,5.56666666666667,6.10620010060976,6.858864566056909,8.0,10.0,7.13857870770778,5.68030738313008,6.51515151515152,9.53528783417914,4.77877589140534,4.82997239550555,5.8413398804424,6.19680581663567,6.79130768762733,7.37,73.0,5.488,1.05613,0.701288521289825,0.29091,0.0398642159998417,0.15513750910759,1.93129,84.73198199999999,86.772561,86.77676,85.53840500000003,86.77676,81.448944,80.35467299999998,81.702175,83.0019,83.29356,83.540701,87.413787,89.068877,90.468388,90.568353,90.168493,90.568353,88.569052,88.169191,88.86894699999998,89.468737,89.668667,89.868597,91.767934,0.066987,0.075081,0.060675,0.048102,0.08454099999999999,0.034768,0.042051,0.043288,0.042575,0.041007,0.036324,0.045457
2,153,2010,54230.173670000004,4,6.48,6.06666666666667,6.03709132459892,7.48649077269871,6.5,9.6759639226937,10.0,10.0,10.0,10.0,10.0,10.0,7.0,0.0,0.0,5.0,6.0,8.5586546408979,0.0,0.0,5.0,1.6666666666666698,2.5,3.3333333333333304,2.9166666666666696,9.26,4.85555555555556,5.677407407407411,5.0,2.5,0.0,0.0,0.0,5.0,3.3333333333333304,4.16666666666667,10.0,6.66666666666667,8.33333333333333,4.0,10.0,10.0,2.0,4.0,10.0,6.66666666666667,3.3333333333333304,6.571428571428571,7.0,0.0,0.0,0.0,0.0,0.0,5.55621392477474,6.744117647058821,9.71259551550037,2.0,10.0,10.0,10.0,4.51451713400412,6.594246059312661,6.7962953940810005,5.658446745327099,6.3467551292834905,8.33333333333333,6.66666666666667,4.82562982997442,9.3047790504466,8.54955495171339,8.98359092834891,0.586206896551724,5.76895094509971,8.2095542740842,5.23353913555317,9.824,10.0,8.31677335240934,10.0,9.02,7.0012,8.67373333333333,7.6506721152648,9.14059068362624,8.39563139944552,10.0,6.67742008333333,5.83333333333333,3.42939488077045,5.31338276581237,8.095686874647809,5.0,7.916616616616619,10.0,7.6388722055388705,10.0,6.59472472897196,8.37815785046729,6.0,10.0,8.49548042990654,5.59578579127726,8.78787878787879,9.52496007729618,7.97272861815754,9.99058906641767,9.865488082386278,8.622905070568951,8.25241923533812,7.41,71.5,5.4445,0.945145,0.6408265942668915,0.349695,0.13466499999999998,0.17241947352886194,1.98356,82.67160200000002,82.06895300000002,81.47618299999998,82.483891,83.44220200000002,83.501479,83.501479,85.141475,87.453277,87.82869699999998,87.97689,86.593761,90.827807,90.674057,90.760541,90.731713,90.664447,90.760541,91.019994,91.510072,92.298041,92.826556,92.845775,92.547885,0.016521,0.014038,0.029331,0.045193,0.049975,0.044101,0.036546,0.042206,0.071022,0.070826,0.06557400000000001,0.047944
3,3,2010,18524.85676,3,6.96,6.33333333333333,5.36658439226844,4.34365174237911,5.3,6.99684852895483,10.0,10.0,7.5,10.0,10.0,9.5,10.0,10.0,10.0,10.0,10.0,8.83228284298494,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.59333333333333,7.822222222222219,9.13851851851852,10.0,10.0,10.0,6.66666666666667,8.33333333333333,7.5,10.0,8.75,10.0,6.66666666666667,8.33333333333333,9.08333333333333,9.19140735767716,10.0,6.0,4.25,10.0,10.0,10.0,8.49162962252531,0.0,10.0,10.0,10.0,10.0,10.0,8.204418858183951,6.13529411764706,6.119042933284099,8.0,7.0,3.0,5.0,7.049243115846549,6.46071603335554,2.6327359649122797,2.6093075,2.92197710526316,7.5,4.16666666666667,5.015583363769929,6.69736175189652,3.16739780701754,4.114294385964911,0.962962962962963,4.23403745043421,7.53273575826766,9.13686206512986,4.68,5.0,6.587399455849379,3.51333333333333,7.48,5.7664,5.58657777777778,2.57593350877193,8.0755366052978,5.32573505703487,10.0,5.3633457017543895,0.7692307692307689,4.646276935237379,3.59295113540751,6.12631599255504,5.0,5.72382382382382,5.0,5.2412746079412695,3.9,2.82228771929825,2.91417684210526,10.0,10.0,5.35895306791953,2.4293460526315798,5.303030303030299,9.035354332199802,3.2011737719298194,4.8050850871505,5.34812951585875,5.02035317713346,5.2068602843314205,5.72,42.5,6.148999999999999,1.096263899497985,0.64819,0.473907515406609,0.0918829567193985,0.2134566145181655,2.69522194366455,53.869037,54.379719,54.895827,55.417249,55.943877,56.475606000000006,57.012334,57.553962,58.100391,58.651529,59.20728199999999,59.767562,48.405231,49.01002800000001,49.567642,49.979419,50.352592,50.721476,51.128963,51.506425,51.879598,52.317111,52.698862,53.14066500000001,0.122801,0.123107,0.122819,0.122354,0.121857,0.121386,0.120971,0.120624,0.120351,0.120157,0.12004,0.12
4,4,2010,6565.6786600000005,0,7.41,4.241641186711755,4.999504685423425,4.0944202834141805,4.83,9.22149534756583,10.0,10.0,7.5,10.0,10.0,9.5,10.0,5.0,5.0,10.0,10.0,9.573831782521939,5.0,5.0,10.0,6.66666666666667,5.0,5.833333333333335,5.0,8.077777777777781,5.97222222222222,7.025,5.0,5.0,5.0,3.3333333333333304,2.5,5.0,4.583333333333335,2.5,10.0,7.5,7.5,4.0,10.0,10.0,3.3333333333333304,3.75,7.5,7.5,7.5,6.77083333333333,7.0,10.0,10.0,10.0,7.5,8.75,7.25252044563049,7.72058823529412,8.04632152588556,8.0,10.0,8.0,9.0,8.26738006930121,8.20685796609618,3.00581608488613,3.8766119109730797,4.62482703933747,5.83333333333333,5.0,5.99414423425109,9.76909196636555,4.09908775155279,7.8219209689441005,1.0,5.5583148099604,9.63599749362906,8.71687999765912,8.36368489128873,10.0,9.179140595644231,9.14666666666667,9.44,8.107999999999999,8.898222222222222,5.25078607453416,7.9506486011351,6.60071733783463,10.0,5.41881268426501,8.33333333333333,1.10625641315176,4.9528008102500305,7.61293509257672,10.0,7.50161552999089,9.0,8.83387184333029,6.66666666666667,6.309649892339539,7.3563604948240195,10.0,0.0,6.554230717057589,4.11929730434783,6.36363636363636,9.71340479423853,3.8498863220940502,9.527870410226411,4.39533676609488,6.328238660106339,7.23878040683141,7.56,100.0,4.996,0.8556299999999999,0.637524425983429,0.3981558382511141,0.14637714624404902,0.07855,1.87031,78.52600699999998,78.23834000000002,79.09115899999998,79.41034300000003,79.193206,77.73545,76.109197,77.356137,76.404454,77.370016,80.711935,85.242357,78.63453,78.555088,79.077416,80.856288,80.777619,79.97697600000002,79.19922,79.887342,79.43457,80.04316700000003,81.675688,83.860187,0.070824,0.057129999999999986,0.055377,0.053403999999999986,0.040903,0.055377,-0.017872,-0.010922,0.055377,-0.028781,0.003891,0.055377
5,5,2010,39324.36895,6,8.69,8.8,7.23283097208327,7.23642926565899,7.8,9.58227968960669,10.0,10.0,10.0,10.0,10.0,10.0,9.5,7.5,7.5,10.0,9.75,9.777426563202232,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.85111111111111,8.75,9.200370370370369,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.33333333333333,7.75,10.0,10.0,10.0,9.44047619047619,7.0,10.0,10.0,10.0,10.0,10.0,9.258441296885211,4.3588235294117705,6.80381471389646,10.0,6.0,5.0,5.5,9.1884273949693,7.17021312765551,8.53094891025641,6.622340307692309,7.58785451282051,10.0,9.16666666666667,6.16315192812142,8.261947626116491,8.241652217948719,8.19422924358974,1.0,8.0854212681347,9.12624581301379,9.332542286987222,9.43095486369729,10.0,9.47243574092457,9.24666666666667,9.44,7.8048,8.83048888888889,7.645957474358981,8.91046066167946,8.278209068019219,10.0,7.260090570512821,1.53846153846154,0.11062564131517601,2.96972591676318,7.51960596841782,10.0,8.21404839219007,10.0,9.40468279739669,8.9,4.1436861923076895,5.44127280769231,10.0,10.0,7.73546898520525,3.63661953846154,9.393939393939391,9.92861381020305,7.64199133333334,8.50393142043637,8.77818341500868,7.9805464852304,8.37356608927744,8.12,9.0,7.2995,1.31445,0.84754339632988,0.607834756374359,0.36959335106372854,0.476354624991417,2.265355,94.543207,94.954608,95.224612,95.070099,94.845125,94.60572,94.319977,93.978064,93.69827,94.371873,95.344456,96.355841,87.962469,88.267957,88.53439300000002,88.72619399999998,88.90215400000002,89.092383,89.30476999999998,89.532914,89.743371,89.879047,89.975994,90.115364,0.007965,0.0033490000000000004,-0.002092,0.001873,0.005821,0.009089,0.011551,0.013361,0.014925999999999997,0.016429,0.019097,0.023891
6,6,2010,42006.04688,9,8.37,8.1,7.439239997169991,7.4790809181214595,7.7,9.72413625813902,10.0,10.0,10.0,10.0,10.0,10.0,9.5,10.0,10.0,10.0,9.75,9.82471208604634,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.79777777777778,6.25,8.34925925925926,10.0,10.0,10.0,10.0,10.0,0.0,10.0,5.0,10.0,6.66666666666667,8.33333333333333,8.66666666666667,10.0,10.0,7.33333333333333,8.0,10.0,10.0,10.0,9.33333333333333,7.0,10.0,10.0,10.0,10.0,10.0,9.016103947437509,4.07058823529412,2.02207084468665,10.0,4.0,3.0,3.5,7.6309007068057095,5.44471195735729,7.5688704021164,6.51241411111111,8.231708883597879,10.0,10.0,6.37897183362012,8.09104432114605,8.20530099470899,7.73555057671958,1.0,8.080429013668901,9.187142250141461,9.743813027471449,9.63729365263876,10.0,9.64206223256292,9.63240933333333,8.98,6.4096,8.34066977777778,6.773065693121691,9.07814668154489,7.92560618733329,10.0,6.5704819285714295,3.07692307692308,6.416287196280191,5.354564067258231,7.90521000809233,8.0,8.77237712916696,10.0,8.92412570972232,10.0,4.25689625396825,2.7117496507936503,8.0,3.0,6.32810765079365,4.21344565079365,8.48484848484848,8.87843197087199,7.646354179138321,7.64504842417247,8.09441450047226,7.4937572017162,7.581996854077389,7.73,16.5,6.948500106811526,1.2982049999999998,0.8447776734828946,0.5762601710128785,0.2753609690618515,0.32256116087436704,2.276871442794795,87.36640899999998,86.75114599999998,87.52022,87.981662,87.058787,86.981877,86.75114599999998,87.058787,87.058787,87.67404,87.67404,88.36620400000002,89.05122,89.21628,90.20666,90.45425,90.53678,90.53678,90.20666,90.37172,90.61931,90.86691,90.78437,91.36209,-0.01645,-0.02253,-0.003503,0.006156,0.0,0.006228,0.008043000000000002,0.013429,0.014337,0.017856999999999998,0.011535,0.024064
7,7,2010,15884.04479,0,6.36,4.241641186711755,4.999504685423425,4.0944202834141805,4.28,9.0877343783646,10.0,10.0,7.5,10.0,10.0,9.5,10.0,5.0,5.0,10.0,10.0,9.5292447927882,5.0,5.0,10.0,6.66666666666667,7.5,0.0,3.75,8.40444444444444,6.525,6.22648148148148,2.5,2.5,7.5,3.3333333333333304,5.41666666666667,7.5,0.0,3.75,10.0,6.66666666666667,8.33333333333333,4.5,10.0,8.89555629283309,1.33333333333333,2.25,10.0,6.66666666666667,10.0,7.0207937561190095,7.0,10.0,10.0,10.0,7.5,8.75,6.768705388623769,4.11764705882353,8.26208857366429,0.0,7.0,3.0,5.0,3.8935987939889105,4.2546668852953395,4.04943177710843,4.2311249367469905,4.73432092570281,5.83333333333333,5.83333333333333,7.55441947551241,9.72636614012294,4.64424713453815,7.136198457831321,0.923076923076923,5.74174952075104,7.00565353410339,4.13693610916241,8.866415374200761,5.0,6.25225125436664,9.38666666666667,8.22,6.796,8.13422222222222,4.58837344578313,4.3559173028648,4.472145374323969,10.0,5.3759806927710905,4.615384615384619,0.0,3.33045510271857,6.48420567481619,5.0,10.0,9.0,8.0,8.33333333333333,7.2388126064257,7.81906902208835,8.0,1.0,6.69106518594692,4.4798349497992005,6.51515151515152,9.71550568738589,3.4595396683878397,6.85478623380089,7.4779015447427,6.41711993321134,7.0360617063860795,5.95,100.0,4.996,0.8556299999999999,0.637524425983429,0.3981558382511141,0.14637714624404902,0.07855,1.87031,79.349525,81.167501,83.219193,83.30552800000002,83.076136,82.139544,81.530343,82.361462,83.961063,85.20499699999998,87.423957,89.199432,82.584036,83.481154,84.605802,84.615657,84.48612,83.962539,83.82405899999998,84.41079599999998,85.208625,86.00226500000002,87.527757,88.715296,-0.010898,0.025263,0.06357,0.067786,0.06896000000000001,0.069232,0.071049,0.081557,0.097605,0.111661,0.124313,0.131295
8,24,2010,718.7144691000001,8,5.8,3.7,4.88416740140516,3.9593998127344197,3.87,8.41677759489354,5.0,10.0,2.5,9.46769659770676,8.74528483745165,7.1425962870316795,10.0,5.0,5.0,5.0,7.5,7.68645796064174,5.0,10.0,10.0,8.33333333333333,7.5,7.5,7.5,9.00444444444444,6.572222222222219,7.78833333333333,7.5,7.5,7.5,6.66666666666667,7.5,7.5,6.66666666666667,7.5,10.0,7.5,7.5,7.5,10.0,8.85934985222877,2.6666666666666696,2.5,10.0,7.5,7.5,6.00650412972386,7.0,0.0,0.0,0.0,10.0,5.0,6.28013583970925,3.5,9.72585359365959,2.0,7.0,5.0,6.0,5.014943242427321,5.0601992090217305,1.1433481014492801,2.6377898550724597,2.8400149420289904,2.2,5.0,2.6546156601085897,6.382688746891239,1.9904401449275402,4.009264,0.8620689655172409,2.77659637570219,7.478422663293519,6.82879711927375,8.71975019516002,5.0,7.00674249443182,1.12988113175206,7.5,5.3,4.643293710584019,4.079076623188411,3.85811830768677,3.9685974654375897,10.0,3.49433600724638,0.0,0.0,1.1647786690821298,4.94416746127593,5.0,7.79579579579579,10.0,7.598598598598599,10.0,4.7661759275362305,8.24152524637681,6.0,10.0,7.79381288795786,3.8155118115942,4.24242424242424,8.32484695547061,2.60308651138716,3.71761803308218,6.92864454781999,4.938688683629731,6.777033390062059,5.31,133.0,4.12049994277954,0.86687460187912,0.26987750351428996,0.37248499999999996,0.08684,0.214105,1.881015,66.101303,66.830251,67.612438,68.45244699999999,70.29673100000001,69.305234,68.33065500000001,67.967021,68.085753,68.198723,67.332767,68.221328,63.634604,63.59991,64.064932,64.603872,65.355305,65.517441,65.476237,65.250219,65.20701899999999,65.36962199999999,65.385886,65.851438,0.001156,0.038144,0.056139,0.051017,0.084076,0.082208,0.077861,0.07925700000000001,0.08921699999999999,0.08496000000000001,0.06453300000000001,0.039617
9,13,2010,39836.897710000005,9,8.33,8.43333333333333,6.78150291195567,7.15803453141318,7.5,9.308878290267279,10.0,10.0,10.0,10.0,10.0,10.0,9.5,10.0,10.0,10.0,9.75,9.68629276342243,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.657777777777781,7.0333333333333306,8.5637037037037,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.66666666666667,8.33333333333333,9.66666666666667,10.0,10.0,9.0,9.0,10.0,10.0,10.0,9.714285714285712,7.0,10.0,10.0,10.0,10.0,10.0,9.091038799321211,2.53235294117647,2.42779291553134,10.0,2.0,0.0,1.0,8.16991758811555,4.82601268896467,7.1142439212963,5.216185384259259,7.27848356481481,10.0,8.33333333333333,5.5832661283805,4.61581608695774,7.6999556388888895,7.872712263888889,0.961538461538462,6.9431919068649695,9.34940119542847,9.865377720885881,9.562276700447098,10.0,9.69426390419036,9.63240933333333,8.98,6.4096,8.34066977777778,7.69035280555555,8.99430367161218,8.34232823858387,10.0,7.25052349537037,4.615384615384619,6.416287196280191,6.09406510234506,8.19426577967667,10.0,8.808288671952619,10.0,9.602762890650869,8.9,3.17374370833333,4.22542026388889,8.0,10.0,7.3831939953703705,2.4875324907407403,8.33333333333333,9.755347031732962,7.370338556216931,8.06593237038789,8.2513450710216,7.37730480890558,8.12108723164227,7.56,16.5,6.948500106811526,1.2982049999999998,0.8447776734828946,0.5762601710128785,0.2753609690618515,0.32256116087436704,2.276871442794795,89.6236,89.93106999999998,90.46667,90.60552,90.87332,90.53609,90.42699,90.38731,90.80389,90.87332,90.98243,91.16096,90.72124,91.10775,91.44471,91.76185,92.12854,92.11863,92.15827,92.21774,92.50514,92.63398,92.75291,93.1196,-0.0048460000000000005,-0.00022,0.007289,0.006612000000000001,0.011482,0.017047,0.020483,0.024969,0.031666,0.028629,0.027097000000000003,0.030266
